# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
4.000000000000000000e+01,4.291710004149073221e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.564631874618489604e+01,3.666854901928062738e-02,7.325536674874144616e-02,9.117369160222965618e-02,1.448768393180011049e-01,1.579198572891436225e-01,2.038339159986015670e-01,1.351051760901813281e-01,8.485457753376673296e+00,1.666666666666666644e-02,1.716549961098143978e-02
4.100000000000000000e+01,3.489849214408356826e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.886508011488240300e+01,6.796100208224198358e-02,1.133780317949191208e-01,1.811597066846439286e-01,2.373865561458274875e-01,5.727919883392174061e-02,1.121628341351648128e-01,3.492711094995937932e-02,8.668847523192004800e+00,1.666666666666666644e-02,1.707546960097810346e-02
4.200000000000000000e+01,2.914366736987802575e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.349927756506826881e+01,1.906093893792559779e-02,5.354183830367964525e-02,2.852142919229748164e-01,3.232264245947369385e-01,2.195981825434215329e-01,2.757116862578126160e-01,1.123620356542087417e-01,8.341420643655970579e+00,1.666666666666666644e-02,1.658086028676225565e-02
4.300000000000000000e+01,1.704834919570221041e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.154681107153943032e+01,-2.118645140161740104e-02,1.586593584398743317e-02,2.577412472845793112e-01,3.069728935371460743e-01,1.998270639294077167e-01,2.509986530836563201e-01,9.814171674334193352e-02,7.670564382068544518e+00,1.666666666666666644e-02,1.657674780482383189e-02
4.400000000000000000e+01,2.683242780193280996e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.491350560784184154e+01,-1.476494146206000502e-01,-8.911464450777684121e-02,3.143883131096092409e-02,8.330126791122127727e-02,2.233921445038553333e-01,2.687272696866769284e-01,2.504526445996947959e-01,6.792499880614989216e+00,1.666666666666666644e-02,1.639802156274313555e-02
4.500000000000000000e+01,2.785823238582437522e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.373292034512841298e+01,5.507169476128676022e-02,9.027428734550779765e-02,1.882175048113277904e-01,2.514911671687862782e-01,2.568546145786873014e-01,3.059713970704751596e-01,3.478521344938333149e-02,8.644222090469126485e+00,1.666666666666666644e-02,1.618872957652550681e-02
4.600000000000000000e+01,9.282302586845497805e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.823356094697108176e+01,-9.139295759913690365e-02,-3.957827408516578771e-02,2.811712072465192280e-01,3.365763202805043264e-01,1.285963450567917388e-02,6.818080893802447306e-02,9.392308068950394606e-02,6.939836404549925675e+00,1.666666666666666644e-02,1.659386462154051334e-02
4.700000000000000000e+01,1.434409936268158936e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.620373313052290598e+01,-1.539725358751090345e-01,-8.808768372919728584e-02,2.923449283309370039e-01,3.269240707423661796e-01,2.186203900503318753e-01,2.637924860078160183e-01,3.404654156809485549e-02,6.493702034372292431e+00,1.666666666666666644e-02,1.661942869845503892e-02
4.800000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.372326152261089049e+01,-1.907165357787295179e-01,-1.303877281642757957e-01,2.674719801540775266e-01,3.152183560402630480e-01,8.545835024217549036e-02,1.340803999683533032e-01,5.247081279345788482e-03,5.907751939525473617e+00,1.666666666666666644e-02,1.670445704123596845e-02
4.900000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.047252371804702165e+01,-2.527033148092639459e-01,-1.792804457779576532e-01,1.700653978499016838e-01,2.060919991972753884e-01,1.640897640729095108e-01,2.048277917179306407e-01,2.049830279924960696e-01,5.628415556051753477e+00,1.666666666666666644e-02,1.657307991552739793e-02
